Material en bruto,Recuento,MaterialTruTops
DD11 DEC.-4,32,St37-40
DD11 DEC.-1.4,31,St37-14
DD11 DEC.-3,29,St37-30
GALVA-1.5,24,GALVA-15
S235-JR-8,18,St37-80
GALVA-3,15,GALVA-30
DD11 DEC.-1.8,14,St37-18
DD11 DEC.-0.9,14,St37-9
DD11 DEC.-1.1,12,St37-11
DD11 DEC.-0.7,12,St37-7
A-304 LC-4,11,1.4301-40
GALVA-2,10,GALVA-20
DD11 DEC.-2,9,St37-20
A-304 LC-8,9,1.4301-80
GALVA-4,8,GALVA-40
DD11 DEC.-6,8,St37-60
DD11 DEC.-5,7,St37-50
A-304 2B-2.5,7,1.4301-25
A-304 LC-6,7,1.4301-60
GALVA-0.6,7,GALVA-6
A-304 2B-2,6,1.4301-20
A-304 ESM180-3,5,1.4301-30
AlMg3-30,5,AlMg3-30
S235-JR-10,4,St37-100
S355-JR-10,4,St37-100
A-316 LC-8,4,1.4301-80
AlMg3-20,4,AlMg3-20
S355-JR-8,3,St37-80
S355-JR-5,3,St37-50
DD11 DEC.-2.5,2,St37-25
A-304 2B-1,2,1.4301-10
S355-JR-15,2,St37-150
GALVA-1,2,GALVA-10
S355-JR-6,2,St37-60
AlMg3-15,2,AlMg3-15
A-304 LC-5,2,1.4301-50
A-304 2B-3,1,1.4301-30
S355-MC-4,1,St37-40
A-304 2B-1.5,1,1.4301-15
S235-JR-12,1,St37-120
S355-MC-5,1,St37-50
A-304 PUL.-1.5,1,1.4301-15
A-304 LC-12,1,1.4301-120
AlMg3-60,1,AlMg3-60
A-304 LC-10,1,1.4301-100
A-304 ESM180-2,1,1.4301-20
S355-JR-20,1,St37-200
